🐉央视频道,#genre#
CCTV-1综合,http://180.165.14.247:4022/rtp/239.45.3.145:5140
CCTV-2财经,http://180.165.14.247:4022/rtp/239.45.3.208:5140
CCTV-3综艺,http://180.165.14.247:4022/rtp/239.45.1.68:5140
CCTV-4中文国际,http://180.165.14.247:4022/rtp/239.45.0.2:5140
CCTV-5体育,http://180.165.14.247:4022/rtp/239.45.1.69:5140
CCTV-6电影,http://180.165.14.247:4022/rtp/239.45.1.70:5140
CCTV-7军事,http://180.165.14.247:4022/rtp/239.45.3.56:5140
CCTV-8电视剧,http://180.165.14.247:4022/rtp/239.45.1.71:5140
CCTV-9记录,http://180.165.14.247:4022/rtp/239.45.3.4:5140
CCTV-10科教,http://180.165.14.247:4022/rtp/239.45.3.8:5140
CCTV-11戏曲,http://180.165.14.247:4022/rtp/239.45.1.196:5140
CCTV-12社会与法,http://180.165.14.247:4022/rtp/239.45.3.10:5140
CCTV-13新闻,http://180.165.14.247:4022/rtp/239.45.1.198:5140
CCTV-14少儿,http://180.165.14.247:4022/rtp/239.45.3.23:5140
CCTV-15音乐,http://180.165.14.247:4022/rtp/239.45.1.200:5140
CCTV-17农业农村,http://180.165.14.247:4022/rtp/239.45.3.52:5140

CCTV-2财经,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路262』
CCTV-2财经,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2财经,http://121.29.169.222:7777/rtp/239.253.92.190:6065
CCTV-2财经,http://121.29.169.222:8888/rtp/239.253.92.190:6065

CCTV-3综艺,http://121.29.169.222:7777/rtp/239.253.92.191:6057
CCTV-3综艺,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV-3综艺,http://222.169.85.8:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路243』

CCTV-4中文国际,http://121.29.169.222:7777/rtp/239.253.92.251:6141
CCTV-4中文国际,http://120.76.248.139/live/bfgd/4200000063.m3u8

CCTV-5体育,http://222.169.85.8:9901/tsfile/live/0005_1.m3u8

CCTV-5+体育赛事,http://1.180.2.93:9901/tsfile/live/1027_1.m3u8

CCTV-6电影,http://zzssw01.55555.io:9901/tsfile/live/0006_1.m3u8

CCTV-7军事,http://8.138.7.223/tv/cctv7.m3u8

CCTV-9记录,http://222.169.85.8:9901/tsfile/live/0009_1.m3u8

CCTV-10科教,http://222.169.85.8:9901/tsfile/live/0010_1.m3u8
CCTV-10科教,http://183.223.157.123:85/tsfile/live/0010_1.m3u8?key=txiptv

CCTV-15音乐,http://121.29.169.222:7777/rtp/239.253.93.154:6322
CCTV-17农业农村,http://121.29.169.222:7777/rtp/239.253.93.150:6318

📺卫视频道,#genre#
东方卫视,http://180.165.14.247:4022/rtp/239.45.3.146:5140
东方卫视,http://121.29.169.222:7777/rtp/239.253.92.89:8019
天津卫视,http://121.29.169.222:7777/rtp/239.253.92.91:8021
深圳卫视,http://121.29.169.222:7777/rtp/239.253.92.86:8017
山东卫视,http://121.29.169.222:7777/rtp/239.253.92.207:8109
广东卫视,http://121.29.169.222:7777/rtp/239.253.92.206:8108
黑龙江卫视,http://121.29.169.222:7777/rtp/239.253.92.85:8016
辽宁卫视,http://121.29.169.222:7777/rtp/239.253.92.115:6056
安徽卫视,http://121.29.169.222:7777/rtp/239.253.92.209:6566
湖北卫视,http://121.29.169.222:7777/rtp/239.253.92.210:6567
四川卫视,http://121.29.169.222:7777/rtp/239.253.92.16:6043
重庆卫视,http://121.29.169.222:7777/rtp/239.253.92.10:6053
河南卫视,http://121.29.169.222:7777/rtp/239.253.92.137:6144
广西卫视,http://121.29.169.222:7777/rtp/239.253.92.76:8043
贵州卫视,http://121.29.169.222:7777/rtp/239.253.92.105:6055
江西卫视,http://121.29.169.222:7777/rtp/239.253.92.19:6145
吉林卫视,http://121.29.169.222:7777/rtp/239.253.92.202:6147
海南卫视,http://121.29.169.222:7777/rtp/239.253.93.155:6323

广西卫视,http://218.89.240.144:59901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0

湖南卫视,http://222.169.85.8:9901/tsfile/live/0128_1.m3u8

浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://ali-m-l.cztv.com:80/channels/lantian/channel001/1080p.m3u8

北京卫视,http://180.165.14.247:4022/rtp/239.45.3.229:5140
江苏卫视,http://180.165.14.247:4022/rtp/239.45.3.177:5140
浙江卫视,http://180.165.14.247:4022/rtp/239.45.3.178:5140
湖北卫视,http://180.165.14.247:4022/rtp/239.45.3.239:5140
湖南卫视,http://180.165.14.247:4022/rtp/239.45.3.228:5140
天津卫视,http://180.165.14.247:4022/rtp/239.45.1.124:5140
安徽卫视,http://180.165.14.247:4022/rtp/239.45.1.120:5140
山东卫视,http://180.165.14.247:4022/rtp/239.45.3.238:5140
广东卫视,http://180.165.14.247:4022/rtp/239.45.3.230:5140
东南卫视,http://180.165.14.247:4022/rtp/239.45.1.121:5140
广西卫视,http://180.165.14.247:4022/rtp/239.45.0.5:5140
江西卫视,http://180.165.14.247:4022/rtp/239.45.1.122:5140
河北卫视,http://180.165.14.247:4022/rtp/239.45.1.44:5140
河南卫视,http://180.165.14.247:4022/rtp/239.45.0.3:5140
海南卫视,http://180.165.14.247:4022/rtp/239.45.1.81:5140
深圳卫视,http://180.165.14.247:4022/rtp/239.45.3.231:5140
四川卫视,http://180.165.14.247:4022/rtp/239.45.1.83:5140
重庆卫视,http://180.165.14.247:4022/rtp/239.45.1.84:5140
云南卫视,http://180.165.14.247:4022/rtp/239.45.0.4:5140
贵州卫视,http://180.165.14.247:4022/rtp/239.45.1.80:5140
吉林卫视,http://180.165.14.247:4022/rtp/239.45.0.6:5140
辽宁卫视,http://180.165.14.247:4022/rtp/239.45.1.123:5140
黑龙江卫视,http://180.165.14.247:4022/rtp/239.45.3.232:5140
山西卫视,http://180.165.14.247:4022/rtp/239.45.1.229:5140
青海卫视,http://180.165.14.247:4022/rtp/239.45.1.230:5140
西藏卫视,http://180.165.14.247:4022/rtp/239.45.1.231:5140
宁夏卫视,http://180.165.14.247:4022/rtp/239.45.1.213:5140
陕西卫视,http://180.165.14.247:4022/rtp/239.45.1.232:5140
云南卫视,http://180.165.14.247:4022/rtp/239.45.0.4:5140
甘肃卫视,http://180.165.14.247:4022/rtp/239.45.1.234:5140
内蒙古卫视,http://180.165.14.247:4022/rtp/239.45.1.238:5140
河南卫视,http://180.165.14.247:4022/rtp/239.45.0.3:5140

北京卫视,http://218.1.139.206:4022/rtp/239.45.3.229:5140
江苏卫视,http://218.1.139.206:4022/rtp/239.45.3.177:5140
浙江卫视,http://218.1.139.206:4022/rtp/239.45.3.178:5140
湖北卫视,http://218.1.139.206:4022/rtp/239.45.3.239:5140
湖南卫视,http://218.1.139.206:4022/rtp/239.45.3.228:5140
天津卫视,http://218.1.139.206:4022/rtp/239.45.1.124:5140
安徽卫视,http://218.1.139.206:4022/rtp/239.45.1.120:5140
山东卫视,http://218.1.139.206:4022/rtp/239.45.3.238:5140
广东卫视,http://218.1.139.206:4022/rtp/239.45.3.230:5140
东南卫视,http://218.1.139.206:4022/rtp/239.45.1.121:5140
广西卫视,http://218.1.139.206:4022/rtp/239.45.0.5:5140
江西卫视,http://218.1.139.206:4022/rtp/239.45.1.122:5140
河北卫视,http://218.1.139.206:4022/rtp/239.45.1.44:5140
河南卫视,http://218.1.139.206:4022/rtp/239.45.0.3:5140
海南卫视,http://218.1.139.206:4022/rtp/239.45.1.81:5140
深圳卫视,http://218.1.139.206:4022/rtp/239.45.3.231:5140
四川卫视,http://218.1.139.206:4022/rtp/239.45.1.83:5140
重庆卫视,http://218.1.139.206:4022/rtp/239.45.1.84:5140
云南卫视,http://218.1.139.206:4022/rtp/239.45.0.4:5140
贵州卫视,http://218.1.139.206:4022/rtp/239.45.1.80:5140
吉林卫视,http://218.1.139.206:4022/rtp/239.45.0.6:5140
辽宁卫视,http://218.1.139.206:4022/rtp/239.45.1.123:5140
黑龙江卫视,http://218.1.139.206:4022/rtp/239.45.3.232:5140
山西卫视,http://218.1.139.206:4022/rtp/239.45.1.229:5140
青海卫视,http://218.1.139.206:4022/rtp/239.45.1.230:5140
西藏卫视,http://218.1.139.206:4022/rtp/239.45.1.231:5140
宁夏卫视,http://218.1.139.206:4022/rtp/239.45.1.213:5140
陕西卫视,http://218.1.139.206:4022/rtp/239.45.1.232:5140
云南卫视,http://218.1.139.206:4022/rtp/239.45.0.4:5140
甘肃卫视,http://218.1.139.206:4022/rtp/239.45.1.234:5140
内蒙古卫视,http://218.1.139.206:4022/rtp/239.45.1.238:5140
河南卫视,http://218.1.139.206:4022/rtp/239.45.0.3:5140

🍉咪咕,#genre#
CCTV-1综合,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv1
CCTV-2财经,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv2
CCTV-3综艺,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv3
CCTV-4中文国际,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv4
CCTV4美洲,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv4a
